candidate_id,rank,score,reasoning
CAND_0077337,1,0.99,"Exceptional Staff Machine Learning Engineer with 7.0 years experience at Paytm; has hands-on production experience in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, highly active on GitHub (score 68). Currently based in Kochi, Kerala (willing to relocate) and on a standard 60-day notice."
CAND_0018499,2,0.981,"Top founding-team fit: 7.2 years of experience as Senior Machine Learning Engineer at Zomato. Strong depth in dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 95); based locally in Noida, Uttar Pradesh (ideal for hybrid setup) and available on a very short 15-day notice."
CAND_0054123,3,0.851,"Top founding-team fit: 4.7 years of experience as Applied ML Engineer at Meta. Strong depth in vector databases, RAG & LLM fine-tuning, strong Python development, highly active on GitHub (score 72); located in Gurgaon, Haryana and on a standard 60-day notice."
CAND_0099806,4,0.84,"Top founding-team fit: 4.6 years of experience as AI Engineer at Mad Street Den. Strong depth in dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 87); based in Bhubaneswar, Odisha (willing to relocate) and available on a 30-day notice."
CAND_0041669,5,0.824,"Exceptional Recommendation Systems Engineer with 8.0 years experience at CRED; has hands-on production experience in vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 71). Currently based locally in Noida, Uttar Pradesh (ideal for hybrid setup) and on a standard 60-day notice."
CAND_0050454,6,0.816,"Top founding-team fit: 6.8 years of experience as AI Engineer at Rephrase.ai. Strong depth in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems; based in Delhi, Delhi (willing to relocate) and available on a 30-day notice."
CAND_0042506,7,0.806,"Outstanding Search Engineer with 4.2 years at Verloop.io shipping applied ML systems. Skilled in vector databases; located in Mumbai, Maharashtra and is available on a very short 15-day notice. Note: experience (4.2 years) is slightly below our preferred 5-9 years band."
CAND_0045250,8,0.795,"Top founding-team fit: 6.6 years of experience as Applied ML Engineer at Rephrase.ai. Strong depth in dense embeddings, vector databases, RAG & LLM fine-tuning; located in Delhi, Delhi and available on a very short 15-day notice."
CAND_0064326,9,0.791,"Exceptional Search Engineer with 7.6 years experience at Sarvam AI; has hands-on production experience in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, highly active on GitHub (score 61). Currently located in Gurgaon, Haryana and on a standard 60-day notice."
CAND_0037566,10,0.786,"Outstanding Machine Learning Engineer with 6.9 years at LinkedIn shipping applied ML systems. Skilled in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems; based in Bangalore, Karnataka (willing to relocate) and is available on a very short 15-day notice."
CAND_0081846,11,0.785,"Solid product-company track record (6.7 years exp as Lead AI Engineer at Razorpay). Demonstrates proficiency in dense embeddings, vector databases, hybrid retrieval systems; based in Jaipur, Rajasthan (willing to relocate) and is available on a 30-day notice."
CAND_0002025,12,0.772,"High-quality candidate with 5.9 years exp at Apple. Built systems using vector databases, RAG & LLM fine-tuning, strong Python development, highly active on GitHub (score 97); located in Trivandrum, Kerala and is available on a 30-day notice."
CAND_0011687,13,0.757,"Strong candidate working as Senior NLP Engineer at Niramai with 7.8 years of experience. Experienced in dense embeddings, vector databases, highly active on GitHub (score 76); located in Indore, Madhya Pradesh. Notice period is 15 days."
CAND_0020877,14,0.699,"Solid product-company track record (5.1 years exp as Applied ML Engineer at CRED). Demonstrates proficiency in vector databases, RAG & LLM fine-tuning; based in Gurgaon, Haryana (willing to relocate) and is on a standard 60-day notice."
CAND_0071974,15,0.699,"High-quality candidate with 7.8 years exp at Netflix. Built systems using dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 83); located in Vizag, Andhra Pradesh and is on a standard 60-day notice."
CAND_0027691,16,0.694,"High-quality candidate with 6.5 years exp at Haptik. Built systems using dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 58); based locally in Pune, Maharashtra (ideal for hybrid setup) and is available on a very short 15-day notice."
CAND_0052682,17,0.689,"Strong candidate working as NLP Engineer at Aganitha with 6.6 years of experience. Experienced in dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 72); located in Vizag, Andhra Pradesh. Notice period is 30 days."
CAND_0007009,18,0.678,"High-quality candidate with 7.9 years exp at Wysa. Built systems using dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 69); based locally in Noida, Uttar Pradesh (ideal for hybrid setup) and is available on a 30-day notice."
CAND_0062247,19,0.675,"High-quality candidate with 7.3 years exp at Google. Built systems using vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, highly active on GitHub (score 53); based in Kochi, Kerala (willing to relocate) and is available on a 30-day notice."
CAND_0086022,20,0.667,"Strong candidate working as Senior Applied Scientist at Sarvam AI with 5.3 years of experience. Experienced in dense embeddings, vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 75); based in Kolkata, West Bengal (willing to relocate). Notice period is 0 days."
CAND_0006418,21,0.666,"Strong candidate working as Machine Learning Engineer at Verloop.io with 5.7 years of experience. Experienced in dense embeddings, vector databases, highly active on GitHub (score 60); based in Gurgaon, Haryana (willing to relocate). Notice period is 60 days."
CAND_0046064,22,0.666,"Strong candidate working as Senior NLP Engineer at Salesforce with 8.9 years of experience. Experienced in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, highly active on GitHub (score 67); located in Coimbatore, Tamil Nadu. Notice period is 30 days."
CAND_0005649,23,0.651,"High-quality candidate with 7.4 years exp at Sarvam AI. Built systems using vector databases, RAG & LLM fine-tuning, highly active on GitHub (score 81); based in Delhi, Delhi (willing to relocate) and is on a 90-day notice period."
CAND_0052328,24,0.647,"Solid product-company track record (6.5 years exp as Recommendation Systems Engineer at Amazon). Demonstrates proficiency in RAG & LLM fine-tuning, strong Python development; based locally in Pune, Maharashtra (ideal for hybrid setup) and is available on a 30-day notice."
CAND_0093547,25,0.635,"Solid product-company track record (2.9 years exp as Senior Machine Learning Engineer at PhonePe). Demonstrates proficiency in vector databases, RAG & LLM fine-tuning, strong Python development; located in Coimbatore, Tamil Nadu and is on a standard 60-day notice. Note: experience (2.9 years) is slightly below our preferred 5-9 years band."
CAND_0068351,26,0.634,"Strong candidate working as Lead AI Engineer at Sarvam AI with 6.4 years of experience. Experienced in vector databases, RAG & LLM fine-tuning, strong Python development; located in Delhi, Delhi. Notice period is 0 days."
CAND_0068811,27,0.601,"High-quality candidate with 8.0 years exp at Freshworks. Built systems using dense embeddings, vector databases, with solid GitHub activity; based locally in Pune, Maharashtra (ideal for hybrid setup) and is available on a 30-day notice."
CAND_0066999,28,0.595,"Solid product-company track record (5.9 years exp as Recommendation Systems Engineer at Microsoft). Demonstrates proficiency in dense embeddings, vector databases, RAG & LLM fine-tuning; based in Delhi, Delhi (willing to relocate) and is available on a very short 15-day notice."
CAND_0088025,29,0.593,"High-quality candidate with 8.6 years exp at Yellow.ai. Built systems using vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, highly active on GitHub (score 75); located in Jaipur, Rajasthan and is on a 90-day notice period."
CAND_0005260,30,0.592,"Solid product-company track record (5.2 years exp as Senior NLP Engineer at Netflix). Demonstrates proficiency in dense embeddings, RAG & LLM fine-tuning, strong Python development; based in Chennai, Tamil Nadu (willing to relocate) and is on a standard 60-day notice."
CAND_0030031,31,0.592,"Applied ML professional from Microsoft with 5.7 years of experience. Strong in vector databases, RAG & LLM fine-tuning, hybrid retrieval systems, notice period is 30 days, currently located in Trivandrum, Kerala."
CAND_0054394,32,0.592,"Applied ML professional from PharmEasy with 4.1 years of experience. Strong in dense embeddings, vector databases, notice period is 30 days, currently based locally in Pune, Maharashtra (ideal for hybrid setup)."
CAND_0039838,33,0.588,"Decent profile with 4.9 years exp at Amazon. Experience covers dense embeddings, vector databases, RAG & LLM fine-tuning. Notice is 90 days, located in Kochi, Kerala."
